"Year","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
1982,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1983,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1984,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
1985,0.260454999075613,1.26685183617943,1.84720556597072,2.46535564732083,2.72049503047782,3.10413534279853,3.15653104889411,4.90893900274514,3.46370796828699,5.39159598756938,3.10637249566097,5.25973302738234,3.75896204460756,1.99724043755024,1.87257739802738,1.10959028000098,0.377604986042184,0.374804013836195,0.131370169479859,0.180799720352063,0,0,0
1986,0.229006094411406,2.18641671301185,3.39272990127805,3.13393243289567,4.52818674828405,3.67622545359984,3.7747054204203,4.4571282277828,3.5503434979385,4.51860249885112,3.71130404063833,4.43823682741999,3.04720832140248,1.59227649470116,1.05231141049391,0.553367283364816,0.271891327332265,0.214615453830472,0.0512995907490051,0.0749806628571543,0,0,0
1987,0.151613774557363,1.6793285604823,2.96575688165289,3.51321963647411,3.20179892746961,3.07099151152098,2.88130746170484,3.65590411397944,2.95460616733008,3.95246455489808,2.64792394282152,4.53233757797212,3.5905084520262,2.21150041959335,1.39973937168138,0.636108350120346,0.425910515556964,0.122129557119044,0.206364717368101,0.119809714783264,0,0,0
1988,0.114515453730587,0.434056089748699,1.9762389880351,2.6198804341826,3.20116609614346,2.58461565198727,2.40009298207511,2.29457921199998,2.59249893886259,3.36337839655076,2.71921376714018,2.59400773886897,2.07569466319292,1.42611415905434,1.09522882053976,0.671363265769891,0.394225110562457,0.240296469565333,0.0539366140514557,0.0966591251107627,0.0339156617237833,0.0144515722135786,0.00637590893543295
1989,0.0856194979210605,0.88170583636577,1.80261225688422,2.39561195167412,2.78462459276288,3.00051913671662,2.96360134596282,2.92633652794823,2.9886017886311,3.30457625762819,3.45678899659237,3.67847297759724,2.7558388574599,1.53823204748451,0.986707683045997,0.731778111944988,0.359141455714067,0.332209593426962,0.155444644606371,0.0651640274018699,0,0.0402045946704963,0.0187283891163612
1990,0.207782858742831,1.08440788393464,3.00708584304126,2.50279211547987,3.33246971407925,3.02187242074253,3.17509752851771,2.8674948608914,3.36083800829453,2.76889831511907,2.41301047828202,1.81835846461375,1.38564468577815,0.738917154532039,0.743479881907999,0.482401242603798,0.11870345112251,0.0148758923974622,0.109574556409289,0.081115978551632,0,0,0.0132201985448692
1991,0,0.887075813889003,2.858615916583,4.49671285069875,4.38565485579103,3.73557737909722,4.18371241856326,4.16962355594161,4.17770168996408,3.80657446067052,3.76592839191835,4.00384306035705,2.33699366958748,1.76489360381103,0.821848495532978,0.493128270001909,0.341936431815947,0.145110275344995,0.0774713707011132,0.0154839172605802,0.0190154858492888,0,0
1992,0.205070702787469,0.830108844130073,1.590484335414,4.02962900340371,3.60321856404681,3.78980760309393,3.73147598443593,3.49098997791434,3.1665721175545,3.51924159730479,3.59399516716506,3.29473584852075,2.19719093417551,1.50712682212612,0.744956684816766,0.451933242221339,0.30295603395945,0.188791572667414,0.0447111566394618,0.0402803752088509,0.0314913078027818,0.0206303315244469,0
1993,0,1.69080221163984,3.36823461585844,4.72345742030613,4.88164328332433,5.28297059215118,4.15571353464101,3.98361378048043,3.259832697021,3.22846324279954,2.84793226124879,2.59798347790064,1.42434746401329,1.39018854965165,0.656902376685381,0.435551226044309,0.230960167013738,0.112527497619049,0.0819378956471178,0.0110360718275984,0,0,0.0151954995646061
1994,0,0.982823776278205,2.37766534862716,5.41711507511707,5.02992255734823,5.29068213076,5.51045055893134,4.0470736662326,4.00640963574115,3.87215650937533,3.07006874306315,2.62153075487259,1.65861458381416,1.16631784313689,0.760156120827049,0.522172628039652,0.265086821540856,0.130685429179011,0.0720364644602574,0.062912485911244,0,0,0
1995,0,1.79986525626027,2.75813671339437,3.44903620268977,4.70316072023412,4.43091369731795,4.60032628560916,4.24598951889979,3.64418474438673,3.43172205685579,2.51123236156195,2.35706323025474,1.32308673871049,0.817403376549344,0.460119638774607,0.384709057910245,0.226101020929176,0.0899190576523063,0.0547604893397885,0.0317378635395891,0,0,0
1996,0.116068480644625,1.23430223764653,3.82326369617177,4.07261961683647,4.70398707253588,6.4292895866779,7.01069427886957,7.54942542374084,6.342227909844,4.86605295233237,2.87909210354129,2.16800256190533,1.79522719050546,0.759850220235062,0.604521432307092,0.349647727677055,0.36963623376439,0.182951607866875,0.0577175568421716,0,0,0,0
1997,0.430143640237257,1.17350831186204,3.69315843956709,6.21131093953075,5.67600003623478,4.07825354460445,6.35544653571273,5.86295604336712,5.26421243295079,3.4816212201129,3.25491392822197,1.79723823309075,1.36831847207328,0.884171893966801,0.580094178228366,0.348607331648698,0.302672350230503,0.212968735833301,0.368428234170976,0.0358744460993823,0.0709332631795797,0.0372359255374286,0
1998,0.853733040009654,1.58810880601725,3.60411719364152,4.89829731250833,4.6382996522143,4.99694004047222,3.75494939792627,5.67007978893598,5.15685704603195,4.23835320870067,3.54045708593108,2.08563199719439,1.6733663788414,1.16126378854127,1.05790566217883,0.965284898803848,0.538169815721358,0.376628242493669,0.055091476967431,0.0725274550498109,0.0289830137216669,0.0374177620565474,0.0458500397260161
1999,0.152233228649152,2.08859597678307,3.20242843766664,3.79687208698928,6.04361598734249,5.92883338791775,4.99897059779135,4.07060382257568,5.69610792529129,4.79472164633574,3.36411870938668,2.30502588753756,1.54790246254837,1.35717720275902,0.883359943980726,0.415773858671361,0.274645621807013,0.158166826122224,0,0.0378377439808093,0.0570580219670286,0.0383736237979356,0
2000,0.720236964819167,1.60031817560617,4.72180424240312,4.07312978438423,4.0076771823501,6.05079727357716,4.26943835668885,3.50222514605975,3.20506062073423,3.34639135002883,3.16864476153611,2.92474298564901,2.01639533203589,1.38317942435058,0.612168403179045,0.505067997184586,0.519900864453532,0.152709849993592,0.0289808855121269,0.0636569552568765,0,0.0399850220750245,0.0289808855121269
2001,0.271312886877706,2.02056901917197,3.46922826388602,4.52012752074112,3.89320618104022,3.5251615399492,3.76864320553195,5.10478773375655,3.41844489982457,2.03213284097227,3.91666002864207,2.38818022950474,1.74057014738663,1.05902143939451,1.09044126181643,0.162077614116822,0.189466498646249,0.160062820222924,0.13339549727751,0,0.0581209049506559,0.0581209049506559,0
2002,0.31769109953099,2.11050939913021,4.5580534346178,4.81053473183768,6.0077453771608,3.60895072757593,3.07982443140018,3.54167428977439,3.56892683219102,2.9837129482016,2.74602580803035,3.06584515870236,2.17015684707922,1.23369593540726,0.861329329883566,0.338753341730007,0.257491056055363,0.163503845780862,0.0769847572905228,0,0,0.0365312648985386,0
2003,0.291771029722355,1.63969954227502,4.30788884427033,4.10123846502765,5.0335255835959,5.4690758345373,3.45895391824351,3.48393669824456,3.85485325354583,3.83920878160472,2.6537067567774,2.24936919426848,3.01847460890443,1.78939124335536,1.21605372868709,0.341145558104738,0.220516675598299,0.0838075099470914,0.0922800790704097,0.0978118373989559,0.073617962872925,0,0.0505997782982851
2004,0.601766317238373,0.947978808151231,2.28652642411879,3.81070872642679,4.61427590903835,3.6540087503779,3.42999411993762,2.73965620787698,2.33560085778559,3.30510075660898,1.78233021519625,1.80572425647784,1.296182677311,1.3319431129467,0.900710867708568,0.446859893151979,0.103630597154733,0.0878899646649296,0.090467629392966,0,0.017410973879699,0,0
2005,0.269406186881235,1.47836367451016,2.99087155479007,3.7066992414254,3.87105190827716,3.33102659908726,3.35427714317693,3.11809445516318,2.53374190640164,1.94770171510741,2.93424327162927,1.87008651580548,1.52925922967623,1.13756774590986,1.11334679551223,0.531284796840289,0.336041823332121,0.092143935083325,0.0749075848954579,0.0691576369243414,0,0,0
2006,0.44088181103847,0.931754156614292,1.77613012430075,2.56152533288716,3.03484534077813,3.9390050841143,3.26496724109674,3.07861159200351,3.42069124371322,2.48525472028603,2.00117061820727,1.73407938846273,1.72173212361725,0.858126778317189,1.16637062001773,0.61792361243804,0.466051483851737,0.0763537253257011,0,0.0507791154136839,0.0379711178592368,0.0379711178592368,0
2007,0.429550784202527,1.75687271895095,2.34024044572669,1.75631431617883,2.66152730713679,3.00696814252195,3.73020577642223,3.15651101772666,2.97637741017865,2.7235692327631,1.84903068244433,2.27441255934895,1.43030386568888,1.37837714437866,0.89749590895965,0.751333692469212,0.716140674920826,0.326112619027413,0.0639367875724351,0.0190112384172926,0.0908674404430723,0.0297909840037593,0
2008,0.342660510208366,1.29410613481503,2.46591393861082,1.9518654940596,2.06311900200139,2.57366236811516,2.6020578423374,3.31202630609576,2.69026074826192,2.35758858424116,2.28793577394252,1.51112537093309,1.79811036918382,1.58319900120749,1.18121927435611,1.2303240371916,0.4321639153001,0.59317152721618,0.377455629954558,0.0703746843637973,0.0715634312191584,0,0
2009,0.349889849231108,1.39327122375545,2.71487324342621,1.92940392146747,1.66951077938403,1.44633723054609,2.30030024509011,2.0754887796283,1.90666162959069,2.15426949499837,1.51142570761604,2.02894444002198,1.24840595204082,0.844917695456943,1.16934069553019,0.809653542748954,0.514187020541496,0.220995162798324,0.285647617380324,0.102140741601955,0.102155198463489,0.0630823549220509,0
2010,0.387022582320325,0.945466087244649,1.87454757956798,2.13658284950652,2.38113927670169,1.69019787609381,1.21747842476071,1.86393503619547,1.27777124197341,1.90858408332402,1.14929525112986,1.36137903517416,1.14931213476727,0.488965766071512,0.621526120122898,0.596696572198566,0.515384324351986,0.387419780444091,0.127411342646972,0.136586059102249,0.0384893898000308,0.127417348106672,0
2011,0.234743246729378,0.775375604150745,1.39186668527134,1.33950086513524,1.97305574104099,1.77719690282867,1.49055955643249,1.36733720234839,1.54636094388681,1.18423701086694,1.67143048541532,1.189973998877,0.937760220858494,0.686313064883116,0.900814806792179,0.615562778687211,0.526548911921853,0.307671828891708,0.157902396776618,0.0651478877236186,0.115247542600224,0.0210824420735437,0.108308304409908
2012,0.284822650672852,0.852043152297872,1.71875936221887,1.88882527826873,1.66842279894336,1.8349563034998,1.48303855344303,1.32717168110977,1.51682735895927,1.51063992837129,1.5583835451576,1.32754633630681,1.04318628236515,0.712113356760008,0.663901629059124,0.45282253594221,0.369594271569903,0.542302583850442,0.217648584109614,0.019176089339338,0.0697741129774106,0.0183165468209332,0
2013,0.230929553943443,1.95983037718925,1.56080788218949,2.14979010469157,1.53449905572968,2.38171455427725,2.12286740369512,1.71369924527534,1.67405553244063,1.34585784425323,1.38062510595484,0.924153908191105,1.1941853618625,0.781856271548629,0.693590846169644,0.653028558067116,0.349059066165495,0.319331447995402,0.142164493419089,0.129610389402341,0.120961338361782,0.057375042277853,0.0239818701664318
2014,0.285280297334774,1.85873430806135,2.34766039150747,1.82794359978434,1.75804057302882,1.77496478903852,1.74672833188048,2.1038571420358,2.00253741709617,1.49239768165585,1.08255975728269,1.5762829530584,0.800375002195283,0.971729981734107,0.584717207455953,0.574411313313766,0.618611328859585,0.392085086293402,0.0655173770815576,0.0821131285760173,0.0911896898409925,0.0270520154357755,0.0571612598550967
2015,0.337862776980636,1.18461356764733,2.17284436661431,1.5502540714599,1.82884800842689,1.60067915203607,1.20690023201364,2.1542823451715,2.26426495291358,1.64547588062831,1.89044587603693,1.29606648268166,1.09093116633986,0.760205421501606,0.634103128617765,0.641203839469966,0.249472150972556,0.234077675458581,0.0529222296645291,0.0651585323615535,0.101433052374607,0.0136693881601895,0
2016,0.266076969962135,1.56589412896168,3.11935049813755,2.42800361305076,3.4106181168032,2.01287460451498,2.20105787474555,1.87124777601093,2.48620856954383,2.54832348375684,2.2682099412941,1.7668928986159,1.06135376242365,0.698712482615917,0.501553545909296,0.167030282399129,0.287818336734071,0.332237826231176,0.194309575326174,0.0358838214200931,0,0.0313357074812659,0.0320489590123058
2017,0.441267190369374,1.20196889825497,2.26704600660104,2.80086249072472,2.11991429965635,1.96991524458432,1.90033594876222,1.7956009670635,1.85850696341734,1.71063873974778,1.79106703319835,1.01143846651937,1.12883345842154,0.587569612790883,0.499631835833144,0.263054546611795,0.224868844228525,0.107951663080869,0.134403110103791,0.135676558702652,0.0148282281649967,0.0115479510314982,0
